year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win,moneyline,implied_prob,over_under,cover_ou
2026,2026-01-29,Sacramento St.,2026 Sacramento St.,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-01-31,Sacramento St.,2026 Sacramento St.,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-02-02,Sacramento St.,2026 Sacramento St.,Weber St.,2026 Weber St.,Home,,,0,,,0,,
2026,2026-02-07,Sacramento St.,2026 Sacramento St.,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-02-12,Sacramento St.,2026 Sacramento St.,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-02-14,Sacramento St.,2026 Sacramento St.,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-02-19,Sacramento St.,2026 Sacramento St.,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-02-21,Sacramento St.,2026 Sacramento St.,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-02-26,Sacramento St.,2026 Sacramento St.,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-02-28,Sacramento St.,2026 Sacramento St.,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-03-02,Sacramento St.,2026 Sacramento St.,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-01-01,Weber St.,2026 Weber St.,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-01-03,Weber St.,2026 Weber St.,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-01-08,Weber St.,2026 Weber St.,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-01-10,Weber St.,2026 Weber St.,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-01-15,Weber St.,2026 Weber St.,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-01-17,Weber St.,2026 Weber St.,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-01-22,Weber St.,2026 Weber St.,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-01-24,Weber St.,2026 Weber St.,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-01-31,Weber St.,2026 Weber St.,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-02-02,Weber St.,2026 Weber St.,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-02-05,Weber St.,2026 Weber St.,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-02-07,Weber St.,2026 Weber St.,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-02-12,Weber St.,2026 Weber St.,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-02-14,Weber St.,2026 Weber St.,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
2026,2026-02-19,Weber St.,2026 Weber St.,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-02-21,Weber St.,2026 Weber St.,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-02-28,Weber St.,2026 Weber St.,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-03-02,Weber St.,2026 Weber St.,Portland St.,2026 Portland St.,Away,,,0,,,0,,
