game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20111208a,a,1208,2011,West,First Round,2,2011 San Diego St.,15,2011 Northern Colorado,68,50,18,118,1
20111301a,a,1301,2011,Southwest,First Round,1,2011 Kansas,16,2011 Boston University,72,53,19,125,1
20111302a,a,1302,2011,Southwest,First Round,8,2011 UNLV,9,2011 Illinois,62,73,-11,135,0
20111303a,a,1303,2011,Southwest,First Round,5,2011 Vanderbilt,12,2011 Richmond,66,69,-3,135,0
20111304a,a,1304,2011,Southwest,First Round,4,2011 Louisville,13,2011 Morehead St.,61,62,-1,123,0
20111305a,a,1305,2011,Southwest,First Round,6,2011 Georgetown,11,2011 VCU,56,74,-18,130,0
20111306a,a,1306,2011,Southwest,First Round,3,2011 Purdue,14,2011 Saint Peter's,65,43,22,108,1
20111307a,a,1307,2011,Southwest,First Round,7,2011 Texas A&M,10,2011 Florida St.,50,57,-7,107,0
20111308a,a,1308,2011,Southwest,First Round,2,2011 Notre Dame,15,2011 Akron,69,56,13,125,1
20111401a,a,1401,2011,Southeast,First Round,1,2011 Pittsburgh,16,2011 UNC Asheville,74,51,23,125,1
20111402a,a,1402,2011,Southeast,First Round,8,2011 Butler,9,2011 Old Dominion,60,58,2,118,1
20111403a,a,1403,2011,Southeast,First Round,5,2011 Kansas St.,12,2011 Utah St.,73,68,5,141,1
20111404a,a,1404,2011,Southeast,First Round,4,2011 Wisconsin,13,2011 Belmont,72,58,14,130,1
20111405a,a,1405,2011,Southeast,First Round,6,2011 St. John's,11,2011 Gonzaga,71,86,-15,157,0
20111406a,a,1406,2011,Southeast,First Round,3,2011 BYU,14,2011 Wofford,74,66,8,140,1
20111407a,a,1407,2011,Southeast,First Round,7,2011 UCLA,10,2011 Michigan St.,78,76,2,154,1
20111408a,a,1408,2011,Southeast,First Round,2,2011 Florida,15,2011 UC Santa Barbara,79,51,28,130,1
20112109a,a,2109,2011,East,Second Round,1,2011 Ohio St.,8,2011 George Mason,98,66,32,164,1
20112110a,a,2110,2011,East,Second Round,5,2011 West Virginia,4,2011 Kentucky,63,71,-8,134,0
20112111a,a,2111,2011,East,Second Round,11,2011 Marquette,3,2011 Syracuse,66,62,4,128,1
20112112a,a,2112,2011,East,Second Round,7,2011 Washington,2,2011 North Carolina,83,86,-3,169,0
20112209a,a,2209,2011,West,Second Round,1,2011 Duke,8,2011 Michigan,73,71,2,144,1
20112210a,a,2210,2011,West,Second Round,5,2011 Arizona,4,2011 Texas,70,69,1,139,1
20112211a,a,2211,2011,West,Second Round,6,2011 Cincinnati,3,2011 Connecticut,58,69,-11,127,0
20112212a,a,2212,2011,West,Second Round,7,2011 Temple,2,2011 San Diego St.,64,71,-7,135,0
20112309a,a,2309,2011,Southwest,Second Round,1,2011 Kansas,9,2011 Illinois,73,59,14,132,1
20112310a,a,2310,2011,Southwest,Second Round,12,2011 Richmond,13,2011 Morehead St.,65,48,17,113,1
20112311a,a,2311,2011,Southwest,Second Round,11,2011 VCU,3,2011 Purdue,94,76,18,170,1
20112312a,a,2312,2011,Southwest,Second Round,10,2011 Florida St.,2,2011 Notre Dame,71,57,14,128,1
20112409a,a,2409,2011,Southeast,Second Round,1,2011 Pittsburgh,8,2011 Butler,70,71,-1,141,0
20112410a,a,2410,2011,Southeast,Second Round,5,2011 Kansas St.,4,2011 Wisconsin,65,70,-5,135,0
20112411a,a,2411,2011,Southeast,Second Round,11,2011 Gonzaga,3,2011 BYU,67,89,-22,156,0
20112412a,a,2412,2011,Southeast,Second Round,7,2011 UCLA,2,2011 Florida,65,73,-8,138,0
20113113a,a,3113,2011,East,Sweet 16,1,2011 Ohio St.,4,2011 Kentucky,60,62,-2,122,0
20113113a,a,3113,2011,East,Sweet 16,11,2011 Marquette,2,2011 North Carolina,63,81,-18,144,0
